*****: es
orig->languageName: 'en', 'es' l: 2/2
orig->control: 'Control', 'Control' l: 7/7
orig->print: 'Print', 'Imprimir' l: 5/8
orig->status: 'Status', 'Estado' l: 6/6
orig->console: 'Console', 'Consola' l: 7/7
orig->setup: 'Setup', 'Configuración' l: 5/14
orig->current: 'Current°C', 'Actual°C' l: 12/11
orig->active: 'Active°C', 'Activo°C' l: 11/11
orig->standby: 'Standby°C', 'Inactivo°C' l: 12/13
orig->move: 'Move', 'Mover' l: 4/5
orig->extrusion: 'Extrusion', 'Extrusión' l: 9/10
orig->macro: 'Macro', 'Macro' l: 5/5
orig->stop: 'STOP', 'PARADA' l: 4/6
orig->extruderPercent: 'Extruder%', 'Extrusor%' l: 11/11
orig->speed: 'Speed ', 'Veloc. ' l: 6/7
orig->fan: 'Fan ', 'Ventil. ' l: 4/8
orig->timeRemaining: 'Time left: ', 'Tiempo restante: ' l: 11/17
orig->simulated: 'sim'd ', 'simul. ' l: 6/7
orig->file: 'file ', 'archivo ' l: 5/8
orig->filament: 'filament ', 'filamento ' l: 9/10
orig->slicer: 'slicer ', 'laminador ' l: 7/10
orig->notAvailable: 'n/a', 'n/d' l: 3/3
orig->pause: 'Pause', 'Pausa' l: 5/5
orig->babystep: 'Baby step', 'Micro paso' l: 9/10
orig->resume: 'Resume', 'Reanudar' l: 6/8
orig->cancel: 'Cancel', 'Cancelar' l: 6/8
orig->reprint: 'Print again', 'Imprimir de nuevo' l: 11/17
orig->resimulate: 'Simulate again', 'Simular de nuevo' l: 14/16
orig->set: 'Set', 'Fijar' l: 3/5
orig->volume: 'Volume ', 'Volumen ' l: 7/8
orig->calibrateTouch: 'Calibrate touch', 'Calibrar toque' l: 15/14
orig->mirrorDisplay: 'Mirror display', 'Espejar pantalla' l: 14/16
orig->invertDisplay: 'Invert display', 'Invertir pantalla' l: 14/17
orig->theme: 'Theme', 'Tema' l: 5/4
orig->brightnessDown: 'Brightness -', 'Brillo -' l: 12/8
