*****: pl
orig->languageName: 'en', 'pl'
orig->control: 'Control', 'Str.główna'
orig->print: 'Print', 'Druk'
orig->status: 'Status', 'Status'
orig->console: 'Console', 'Konsola'
orig->setup: 'Setup', 'Ustawienia'
orig->current: 'Current°C', 'Odczyt°C'
orig->active: 'Active°C', 'Active°C'
orig->standby: 'Standby°C', 'Standby°C'
orig->move: 'Move', 'Ruch'
orig->extrusion: 'Extrusion', 'Ekstruzja'
orig->macro: 'Macro', 'Makro'
orig->stop: 'STOP', 'STOP'
orig->extruderPercent: 'Extruder%', 'Ekstruder%'
orig->speed: 'Speed ', 'Prędkość '
orig->fan: 'Fan ', 'Nawiew '
orig->timeRemaining: 'Time left: ', 'Pozostało:: '
orig->simulated: 'sim'd ', 'sim'd '
orig->file: 'file ', 'Plik '
orig->filament: 'filament ', 'filament '
orig->slicer: 'slicer ', 'slicer '
orig->notAvailable: 'n/a', 'N/A'
orig->pause: 'Pause', 'Pauza'
orig->babystep: 'Baby step', 'Baby step'
orig->resume: 'Resume', 'Wznów'
orig->cancel: 'Cancel', 'Anuluj'
orig->reprint: 'Print again', 'Drukuj ponownie'
orig->resimulate: 'Simulate again', 'Ponowna symulacja'
orig->set: 'Set', 'Ustaw'
orig->volume: 'Volume ', 'Głośność '
orig->calibrateTouch: 'Calibrate touch', 'Kalibracja'
orig->mirrorDisplay: 'Mirror display', 'Wyśw.lustrzane'
orig->invertDisplay: 'Invert display', 'Wyśw.odbite'
orig->theme: 'Theme', 'Motyw'
orig->brightnessDown: 'Brightness -', 'Jasność -'
orig->brightnessUp: 'Brightness +', 'Jasność +'
orig->saveSettings: 'Save settings', 'Zapisz ust.'
orig->clearSettings: 'Clear settings', 'Wyczyść ust.'
orig->saveAndRestart: 'Save & Restart', 'zapisz i uruch.ponow.'
orig->infoTimeout: 'Info timeout ', 'Czas powiad. '
orig->screensaverAfter: 'Screensaver ', 'Wygaszacz '
orig->babystepAmount: 'Babystep ', 'Babystep '
orig->feedrate: 'Feedrate ', 'Prędkość '
orig->confirmFactoryReset: 'Confirm factory reset', 'Potwierdź przywrócenie do ustawień fabrycznych.'
orig->confirmFileDelete: 'Confirm file delete', 'Potwierdź usuń.pliku'
orig->areYouSure: 'Are you sure?', 'Jesteś pewny?'
orig->touchTheSpot: 'Touch the spot', 'Touch the spot'
orig->moveHead: 'Move head', 'Ruch głowicy'
orig->extrusionAmount: 'Extrusion amount (mm)', 'Ilość filamentu (mm)'
orig->extrusionSpeed: 'Speed (mm/s)', 'Prędkość (mm/s)'
orig->extrude: 'Extrude', 'Ekstruduj'
orig->retract: 'Retract', 'Retrakuj'
orig->babyStepping: 'Baby stepping', 'Baby stepping'
orig->currentZoffset: 'Current Z offset: ', 'Aktualny offset Z : '
orig->message: 'Message', 'Wiadomość'
orig->messages: 'Messages', 'Wiadomości'
orig->firmwareVersion: 'Panel Due firmware version ', 'Panel Due firmware version '
orig->response: 'Response', 'Odpowiedź'
orig->filesOnCard: 'Files on card ', 'Pliki na karcie '
orig->macros: 'Macros', 'Makra'
orig->error: 'Error ', 'Error '
orig->accessingSdCard: ' accessing SD card', 'Otwieranie karty SD'
orig->fileName: 'Filename: ', 'Nazwa pliku: '
orig->fileSize: 'Size: ', 'Rozmiar: '
orig->layerHeight: 'Layer height: ', 'Wysok.warstwy: '
orig->objectHeight: 'Object height: ', 'Wysok.obiektu: '
orig->filamentNeeded: 'Filament needed: ', 'Potrzebny filament: '
orig->generatedBy: 'Sliced by: ', 'Pocięto przez: '
orig->lastModified: 'Last modified: ', 'Ostatnio modyfikowany: '
orig->estimatedPrintTime: 'Estimated print time: ', 'Obliczon.czas druku: '
orig->simulatedPrintTime: 'Simulated print time: ', 'Przewidyw.czas druku: '
orig->simulate: 'Simulate', 'Symuluj'
Status Values:
orig->statusValues[(unsigned int)OM::PrinterStatus::connecting]: 'Connecting', 'Łączenie'
orig->statusValues[(unsigned int)OM::PrinterStatus::idle]: 'Idle', 'Idle'
orig->statusValues[(unsigned int)OM::PrinterStatus::printing]: 'Printing', 'Drukowanie'
orig->statusValues[(unsigned int)OM::PrinterStatus::stopped]: 'Halted', 'Rozpoczynanie'
orig->statusValues[(unsigned int)OM::PrinterStatus::configuring]: 'Starting up', 'Pauza'
orig->statusValues[(unsigned int)OM::PrinterStatus::paused]: 'Paused', 'Zajęty'
orig->statusValues[(unsigned int)OM::PrinterStatus::resuming]: 'Resuming', 'Ładowanie systemu'
orig->statusValues[(unsigned int)OM::PrinterStatus::flashing]: 'Firmware upload', 'Zmiana narzędzia'
orig->statusValues[(unsigned int)OM::PrinterStatus::toolChange]: 'Changing tool', 'Symulowanie'
orig->statusValues[(unsigned int)OM::PrinterStatus::simulating]: 'Simulating', 'Standby'
orig->statusValues[(unsigned int)OM::PrinterStatus::off]: 'Off', 'Inicjowanie'
orig->statusValues[(unsigned int)OM::PrinterStatus::cancelling]: 'Cancelling', MISSING
Colour Scheme Names:
orig->colourSchemeNames[j]: 'Light theme', 'Jasny motyw'
orig->colourSchemeNames[j]: 'Dark theme 1', 'Ciemny motyw 1'
orig->colourSchemeNames[j]: 'Dark theme 2', 'Ciemny motyw 2'
