*****: ru
orig->languageName: 'en', 'ru' l: 2/2
orig->control: 'Control', 'Контроль' l: 7/16
orig->print: 'Print', 'Печать' l: 5/12
orig->status: 'Status', 'Статус' l: 6/12
orig->console: 'Console', 'Консоль' l: 7/14
orig->setup: 'Setup', 'Настройки' l: 5/18
orig->current: 'Current°C', 'Текущая°C' l: 12/19
orig->active: 'Active°C', 'Заданная°C' l: 11/21
orig->standby: 'Standby°C', 'Преднагрев°C' l: 12/25
orig->move: 'Move', 'Движения' l: 4/16
orig->extrusion: 'Extrusion', 'Экструзия' l: 9/18
orig->macro: 'Macro', 'Макрос' l: 5/12
orig->stop: 'STOP', 'СТОП' l: 4/8
orig->extruderPercent: 'Extruder%', 'Экструзия%' l: 11/21
orig->speed: 'Speed ', 'Скорость ' l: 6/17
orig->fan: 'Fan ', 'обдув ' l: 4/11
orig->timeRemaining: 'Time left: ', 'Оставшееся время: ' l: 11/33
orig->simulated: 'sim'd ', 'Файл ' l: 6/9
orig->file: 'file ', ', Файл ' l: 5/11
orig->filament: 'filament ', ', Филамент ' l: 9/19
orig->slicer: 'slicer ', 'Слайсер ' l: 7/15
orig->notAvailable: 'n/a', '-' l: 3/1
orig->pause: 'Pause', 'Пауза' l: 5/10
orig->babystep: 'Baby step', 'Высота слоя' l: 9/21
orig->resume: 'Resume', 'Продолжить' l: 6/20
orig->cancel: 'Cancel', 'Oтмена' l: 6/11
orig->reprint: 'Print again', 'Повтор печати' l: 11/25
orig->resimulate: 'Simulate again', 'Повтор моделирования' l: 14/39
orig->set: 'Set', 'Установить' l: 3/20
orig->volume: 'Volume ', 'Громкость ' l: 7/19
orig->calibrateTouch: 'Calibrate touch', 'Калибровка экрана' l: 15/33
orig->mirrorDisplay: 'Mirror display', 'Отзеркаленый дисплей' l: 14/39
orig->invertDisplay: 'Invert display', 'Перевёрнутый дисплей' l: 14/39
orig->theme: 'Theme', 'Тема' l: 5/8
orig->brightnessDown: 'Brightness -', 'Яркость -' l: 12/16
orig->brightnessUp: 'Brightness +', 'Яркость +' l: 12/16
orig->saveSettings: 'Save settings', 'Сохранить настройки' l: 13/37
orig->clearSettings: 'Clear settings', 'Сбросить настройки' l: 14/35
orig->saveAndRestart: 'Save & Restart', 'Сохранить и перезапустить' l: 14/48
orig->infoTimeout: 'Info timeout ', 'Ожидание информации ' l: 13/38
